ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
635,WHITECLIFFS AVE,K1V 2N4,Ward 22,4R8983,PT LOTS 17-20,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 3, 2 storey rowhouses with attached garages",3,389815,5012,1108977,Construction,2011-12-28
637,WHITECLIFFS AVE,K1V 2N4,Ward 22,4R8983,PT LOTS 17-20,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 3, 2 storey rowhouses with attached garages",3,389815,5012,1108977,Construction,2011-12-28
113,WATCHHORN GRV,K1V 2N3,Ward 22,4M-1448,BLK 30,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4,  2 storey rowhomes with attached garages",4,478670,6247,1108978,Construction,2011-12-28
115,WATCHHORN GRV,K1V 2N3,Ward 22,4M-1448,BLK 30,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4,  2 storey rowhomes with attached garages",4,478670,6247,1108978,Construction,2011-12-28
117,WATCHHORN GRV,K1V 2N3,Ward 22,4M-1448,BLK 30,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4,  2 storey rowhomes with attached garages",4,478670,6247,1108978,Construction,2011-12-28
119,WATCHHORN GRV,K1V 2N3,Ward 22,4M-1448,BLK 30,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4,  2 storey rowhomes with attached garages",4,478670,6247,1108978,Construction,2011-12-28
936,COBBLE HILL DR,K2J 5R3,Ward 3,,111-116,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Dufferin 2010 Std,Carlisle 2010 Mid,Dufferin 2010 Std,Highland I 2008,Carlisle 2010 End",6,660520,8720,1108979,Construction,2011-12-28
938,COBBLE HILL DR,K2J 5P8,Ward 3,,111-116,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Dufferin 2010 Std,Carlisle 2010 Mid,Dufferin 2010 Std,Highland I 2008,Carlisle 2010 End",6,660520,8720,1108979,Construction,2011-12-28
940,COBBLE HILL DR,K2J 5P8,Ward 3,,111-116,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Dufferin 2010 Std,Carlisle 2010 Mid,Dufferin 2010 Std,Highland I 2008,Carlisle 2010 End",6,660520,8720,1108979,Construction,2011-12-28
942,COBBLE HILL DR,K2J 5P8,Ward 3,,111-116,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Dufferin 2010 Std,Carlisle 2010 Mid,Dufferin 2010 Std,Highland I 2008,Carlisle 2010 End",6,660520,8720,1108979,Construction,2011-12-28
944,COBBLE HILL DR,K2J 5P8,Ward 3,,111-116,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Dufferin 2010 Std,Carlisle 2010 Mid,Dufferin 2010 Std,Highland I 2008,Carlisle 2010 End",6,660520,8720,1108979,Construction,2011-12-28
946,COBBLE HILL DR,K2J 5P8,Ward 3,,111-116,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Dufferin 2010 Std,Carlisle 2010 Mid,Dufferin 2010 Std,Highland I 2008,Carlisle 2010 End",6,660520,8720,1108979,Construction,2011-12-28
924,COBBLE HILL DR,K2J 5R3,Ward 3,,5-10,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Highland I 2008,Caledonia 2010 A,Bancroft 2010 End,Caledonia 2010 A,Bancroft 2010 Mid",6,706160,9404,1108980,Construction,2011-12-28
926,COBBLE HILL DR,K2J 5R3,Ward 3,,5-10,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Highland I 2008,Caledonia 2010 A,Bancroft 2010 End,Caledonia 2010 A,Bancroft 2010 Mid",6,706160,9404,1108980,Construction,2011-12-28
