ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
685,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
687,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
689,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
691,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
693,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
695,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
697,VIA AMALFI ST,,Ward 3,D-32,PT LOTS 18 AND 19,CAMPANALE CONSTRUCTION LTD.,Stacked Rowhouse,Nepean,"Construct a 3 storey, 12 unit stacked rowhouse Models Pacific, Rio Grande (x2), Rio Grande Rev (x2), Pacific Rev",12,1879441,16859,1302382,Construction,2013-05-02
1779,TENTH LINE RD,K1E 3X2,Ward 19,,B,CONTRACTOR UNKNOWN,Retail,Cumberland,Tenant fit up in a 1 storey restaurant (Second Cup),0,120000,1595,1302383,Construction,2013-05-02
1364,EMERALD GATE AVE,K1T 1C7,Ward 10,674,35,***CONTRACTOR***,Single,Gloucester,Construct a 1 storey addition to a 1 storey detached dwelling (side yard),0,29728,200,1302384,Construction,2013-05-02
221,SOUTHBRIDGE ST,K4M 0C7,Ward 22,4R-24736,45,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 storey detached dwelling,1,438190,2948,1302385,Construction,2013-05-02
2173,PROVENCE AVE,K4A 0P1,Ward 19,,NS306,RICHCRAFT HOMES LIMITED,Single,Cumberland,Construct a 2 storey detached dwelling,1,258484,1739,1302386,Construction,2013-05-02
139,DRUMMOND ST,K1S 1K1,Ward 17,102,pt lot 8,CONTRACTOR UNKNOWN,Single,Old Ottawa,"Construct a 2 storey addition, interior alterations and replace porch on a 2 storey detached dwelling (at rear)",0,146793,1557,1302387,Construction,2013-05-02
128,FAIRWEATHER ST,K1T 0L1,Ward 22,4M-1462,,CLARIDGE HOMES (CARSON) INC.,Rowhouse,Gloucester,Construct a 2 storey block of 5 rowhouse dwellings,5,869095,7796,1302388,Construction,2013-05-02
130,FAIRWEATHER ST,K1T 0L1,Ward 22,4M-1462,,CLARIDGE HOMES (CARSON) INC.,Rowhouse,Gloucester,Construct a 2 storey block of 5 rowhouse dwellings,5,869095,7796,1302388,Construction,2013-05-02
132,FAIRWEATHER ST,K1T 0L1,Ward 22,4M-1462,,CLARIDGE HOMES (CARSON) INC.,Rowhouse,Gloucester,Construct a 2 storey block of 5 rowhouse dwellings,5,869095,7796,1302388,Construction,2013-05-02
134,FAIRWEATHER ST,K1T 0L1,Ward 22,4M-1462,,CLARIDGE HOMES (CARSON) INC.,Rowhouse,Gloucester,Construct a 2 storey block of 5 rowhouse dwellings,5,869095,7796,1302388,Construction,2013-05-02
136,FAIRWEATHER ST,K1T 0L1,Ward 22,4M-1462,,CLARIDGE HOMES (CARSON) INC.,Rowhouse,Gloucester,Construct a 2 storey block of 5 rowhouse dwellings,5,869095,7796,1302388,Construction,2013-05-02
504,METCALFE ST,K1S 3P1,Ward 17,53786,17,MR FOUNDATION,Single,Old Ottawa,Exterior alterations to a 2 storey detached dwelling (underpinning),0,10000,150,1302389,Construction,2013-05-02
116,WILHELMINA PL,K4M 0B4,Ward 22,,21,URBANDALE CONSTRUCTION,Single,Gloucester,Construct a 2 storey detached dwelling,1,438637,2951,1302390,Construction,2013-05-02
2205,NANTES ST,K4A 4E5,Ward 19,4M1418,37,CAMPBELL POOLS (YOUVILLE),Single,Cumberland,Install an enclosure for an above ground pool (rear yard),0,0,0,1302391,Pool Enclosure,2013-05-02
51,BERT G. ARGUE DR,K2S 2H2,Ward 6,4M-1256,31,POWER PLAY POOLS,Single,Goulbourn,Install an enclosure for an inground pool (rear yard),0,0,0,1302392,Pool Enclosure,2013-05-02
2679,PAGE RD,K1W 1G2,Ward 2,,5,CONTRACTOR UNKNOWN,Demolition,Gloucester,Demolish a 1 storey detached dwelling,-1,10000,-1775,1302393,Demolition,2013-05-02
2680,PAGE RD,K1W 1G1,Ward 2,,6,CONTRACTOR UNKNOWN,Demolition,Gloucester,Demolish a 1 storey detached dwelling,-1,10000,-1070,1302394,Demolition,2013-05-02
2690,PAGE RD,K1W 1G1,Ward 2,,6,CONTRACTOR UNKNOWN,Demolition,Gloucester,Demolish a 1 storey detached dwelling,-1,10000,-1700,1302395,Demolition,2013-05-02
85,HUNTERSFIELD DR,K1T 3L6,Ward 10,4M-622,123,"RIGNAULT, MAURICE",Single,Old Ottawa,Construct a deck extension at the rear of a 2 storey detached dwelling,0,10500,206,1302397,Construction,2013-05-02
