ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
498,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Maple 2012 A,Maple 2012 B,Creekside 2012 C End,Tulip 2012 A end unit,Spruce 2012 A",5,620770,8511,1301004,Construction,2013-02-28
500,COLDWATER CRES,,Ward 23,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Kanata,"Construct a 3 Storey Rowhouse with attached garages  Models: Maple 2012 A,Maple 2012 B,Creekside 2012 C End,Tulip 2012 A end unit,Spruce 2012 A",5,620770,8511,1301004,Construction,2013-02-28
500,DES CONIFERS CRES,K4A 2Y7,Ward 19,50M-177,41,TREVIS POOLS,Single,Cumberland,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1301005,Pool Enclosure,2013-02-28
44,GRENGOLD WAY,K2T 1E2,Ward 4,4M-789,74,***CONTRACTOR***,Single,Kanata,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1301006,Pool Enclosure,2013-02-28
301,SEAGRAM HTS,,Ward 5,4M1444,19,KEMPTVILLE POOL & SPA,Single,West Carleton,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1301007,Pool Enclosure,2013-02-28
104,DEERPATH TERR,K2J 0L9,Ward 3,4M-1311,78,KEMPTVILLE POOL & SPA,Single,Nepean,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1301008,Pool Enclosure,2013-02-28
28,VALENCIA ST,K2G 6T1,Ward 22,4M-1093,261,MERMAID POOLS,Single,Nepean,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1301009,Pool Enclosure,2013-02-28
2727,SHANNA RD,K0A 1L0,Ward 5,,26,MERMAID POOLS (MERIVALE),Single,West Carleton,Enclosure of an above ground pool in the rear yard of a detached dwelling.,0,0,0,1301010,Pool Enclosure,2013-02-28
952,WILDCARROT CRES,K1V 2M6,Ward 22,,17 to 19,SHANK POOLS,Single,Gloucester,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1301011,Pool Enclosure,2013-02-28
69,PHEASANT RUN DR,K2J 2R3,Ward 3,4M-400,25,MERMAID POOLS (MERIVALE),Single,Nepean,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1301012,Pool Enclosure,2013-02-28
301,CENTERRA CRT,K2J 5T9,Ward 3,4M-1423,50150,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Aspen 2010 B Corner,1,438190,2948,1301013,Construction,2013-02-28
105,RITA AVE,K2G 2H2,Ward 8,375,735-738,CONTRACTOR UNKNOWN,Single,Nepean,Enclosure of an above ground pool in the rear of a detached dwelling,0,0,0,1301014,Pool Enclosure,2013-02-28
102,BARONESS DR,K2G 6S2,Ward 22,4M-1190,39,SPLASH POOLS & SPAS,Single,Nepean,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1301015,Pool Enclosure,2013-02-28
8065,BLACK WILLOW LANE,K0A 2P0,Ward 20,4M-964,24,CLUB PISCINE,Single,Osgoode,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1301016,Pool Enclosure,2013-02-28
2,ACACIA AVE,K1M 0P2,Ward 13,30,1,CONTRACTOR UNKNOWN,Single,Rockcliffe Park,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1301017,Pool Enclosure,2013-02-28
820,KILBIRNIE DR,K2J 5T9,Ward 3,4M-1423,50187,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Mahogany 2010 A with loft,1,410246,2760,1301018,Construction,2013-02-28
1078,CHRISTOPHER DR,K4M 1J2,Ward 21,813,22,MERMAID POOLS (MERIVALE),Single,Rideau,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1301019,Pool Enclosure,2013-02-28
7383,DAWN TARA DR,K4P 1P4,Ward 20,4M-984,5,"PLUNKETT, RYAN",Single,Osgoode,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1301020,Pool Enclosure,2013-02-28
