ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
389,VIA VERONA AVE,K2J 5X8,Ward 3,4M-1463,,CAMPANALE HOMES,Rowhouse,Nepean,Construct a 2 storey block of 4 rowhouse dwellings,4,748997,7074,1307286,Construction,2013-10-10
1463,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1465,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1467,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1469,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1471,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1473 A,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1473 B,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1475,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1476,RICHMOND RD,K2B 6S1,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1477,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1480,RICHMOND RD,K2B 6S1,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1481,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1482,RICHMOND RD,K2B 6S1,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1483,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1485,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1487,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1489,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1490,RICHMOND RD,K2B 6S1,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1491,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1493 A,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
