ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
38,BOYCE AVE,K2B 6H9,Ward 7,384,307,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling,-1,1000,-1000,1306432,Demolition,2013-09-10
23,BOYCE AVE,K2B 6H8,Ward 7,384,289,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling,-1,1000,-1000,1306433,Demolition,2013-09-10
28,FERN AVE,K1Y 3S1,Ward 15,226114,38,TWENTY TWENTY HOME IMPROVEMENTS,Single,Old Ottawa,Construct a secondary dwelling unit in a 2 storey detached dwelling ( basement),1,30000,600,1306434,Construction,2013-09-10
21,BIRCHDALE AVE,K2H 5A1,Ward 7,315,pt 16,"LYNCH, TOM",Single,Nepean,Side shed addition to 3 storey town house,0,7000,81,1306435,Construction,2013-09-10
4,SAVAGE DR,K2S 1B9,Ward 6,701,PT LOT 17,***CONTRACTOR***,Single,Goulbourn,Exterior / Interior alerations to a 2 storey detached dwelling (remove exterior wall & windows ),0,1486,10,1306436,Construction,2013-09-10
4070,CARACOURT DR,K0A 2W0,Ward 20,4M-1127,44,***CONTRACTOR***,Single,Osgoode,Construct an addition to existing front porch,0,3700,102,1306437,Construction,2013-09-10
346,RAVENHILL AVE,K2A 1S5,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
348,RAVENHILL AVE,K2A 1S5,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
350,RAVENHILL AVE,K2A 1S5,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
352,RAVENHILL AVE,K2A 1S5,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
354,RAVENHILL AVE,K2A 1S5,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
356,RAVENHILL AVE,K2A 1S5,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
358,RAVENHILL AVE,K2A 1S5,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
360,RAVENHILL AVE,K2A 1S5,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
445,EDISON AVE,,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
447,EDISON AVE,,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
449,EDISON AVE,,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
450,CHURCHILL AVE N,K1Z 5E2,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
451,EDISON AVE,,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
453,EDISON AVE,,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
454,CHURCHILL AVE N,K1Z 5E2,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
455,EDISON AVE,,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
456,CHURCHILL AVE N,K1Z 5E2,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
457,EDISON AVE,K2A 1V1,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
458,CHURCHILL AVE N,K1Z 5E2,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
459,EDISON AVE,K2A 1V1,Ward 15,204,10-11,WARLYN CONSTRUCTION LTD.,Rowhouse,Old Ottawa,Construct 4 blocks of 3 storey rowhouses on a 1 storey underground parking garage,19,3692143,40795,1306438,Construction,2013-09-10
251,LAURIER AVE W,K1P 5J6,Ward 14,3922,44 and 45,TURNBULL DESIGN CONSULTANTS LTD.,Office,Old Ottawa,"Tenant fit up on the 3rd floor of a 11 storey office building (Class D building, 3rd floor)",0,90000,4454,1306439,Construction,2013-09-10
1420,LAPERRIERE AVE,K1Z 7S5,Ward 16,346,1302 to 1300,OTTAWA CONSTRUCTION GROUP INC.,Semi - Detached,Old Ottawa,Construct an attached car port to a 2 storey semi-detached dwelling (side yard),0,3600,240,1306440,Construction,2013-09-10
14,WALLER ST,K1N 9C4,Ward 12,4M-3922,PT LOT 21,CONTRACTOR UNKNOWN,Other,Old Ottawa,"Interior alterations in a 2 storey restaurant (remove staircase leading from 1st to 2nd floor, Lunenburg Pub)",0,6000,148,1306441,Construction,2013-09-10
1564,MAXIME ST,K1B 3L1,Ward 11,,,CONTRACTOR UNKNOWN,Single,Gloucester,Construct a secondary dwelling unit in a 2 storey detached dwelling (basement),1,18040,820,1306442,Construction,2013-09-10
805,BELFAST RD,K1G 0Z4,Ward 18,725,,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 1 storey warehouse building,0,3000,-13000,1306443,Demolition,2013-09-10
94,DE LA COTE-DES-NEIGES RD,K2G 2E1,Ward 8,375,1021 to 1024,CONTRACTOR UNKNOWN,Demolition,Nepean,Demolish a 1 storey detached dwelling,-1,5000,-1000,1306445,Demolition,2013-09-10
133,MATTINGLY WAY,K4M 0C5,Ward 22,,,URBANDALE CORPORATION,Rowhouse,Gloucester,Construct a 2 storey block of 3 rowhouse dwelling,3,541867,5540,1306446,Construction,2013-09-10
135,MATTINGLY WAY,K4M 0C5,Ward 22,,,URBANDALE CORPORATION,Rowhouse,Gloucester,Construct a 2 storey block of 3 rowhouse dwelling,3,541867,5540,1306446,Construction,2013-09-10
137,MATTINGLY WAY,K4M 0C5,Ward 22,,,URBANDALE CORPORATION,Rowhouse,Gloucester,Construct a 2 storey block of 3 rowhouse dwelling,3,541867,5540,1306446,Construction,2013-09-10
28,MORTON DR,K2L 1X1,Ward 23,896,1135,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Device on the building drain,0,0,0,1306447,Construction,2013-09-10
162,GREY FOX DR,K0A 1L0,Ward 5,4M-908,14,***CONTRACTOR***,Single,West Carleton,Construct a deck (rear yard),0,0,0,1306449,Construction,2013-09-10
1691,IRA MORGAN WAY,K0A 2P0,Ward 20,4M-922,71,OAKWOOD BUILDERS,Single,Osgoode,Construct an addition (rear) to a detached dwelling,0,37011,249,1306450,Construction,2013-09-10
32,MORTON DR,K2L 1X1,Ward 23,,,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Device on the building drain,0,0,0,1306451,Construction,2013-09-10
33,CASTLEFRANK RD,K2L 2E1,Ward 23,,,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Device on the building drain,0,0,0,1306452,Construction,2013-09-10
17,BINSCARTH CRES,K2L 1R9,Ward 23,,,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Device on the building drain,0,0,0,1306453,Construction,2013-09-10
1462,COMFREY CRES,K4A 0L8,Ward 19,4M-1418,10,***CONTRACTOR***,Single,Cumberland,Finish the basement in a detached dwelling,0,32329,870,1306454,Construction,2013-09-10
133,HIGHBURY PARK DR,K2J 5Y1,Ward 3,4M-1046,,TARTAN HOMES CORPORATION,Semi - Detached,Nepean,"Construct a 2 Storey Semi - Detached with attached garages  Models: Red Oak 2012,Red Oak 2012",2,621314,4180,1306455,Construction,2013-09-10
135,HIGHBURY PARK DR,K2J 5Y1,Ward 3,4M-1046,,TARTAN HOMES CORPORATION,Semi - Detached,Nepean,"Construct a 2 Storey Semi - Detached with attached garages  Models: Red Oak 2012,Red Oak 2012",2,621314,4180,1306455,Construction,2013-09-10
9,NIGHTHAWK CRES,K2M 2R5,Ward 23,4M-1126,,CONTRACTOR UNKNOWN,Single,Kanata,Construct a deck (rear yard),0,7500,258,1306456,Construction,2013-09-10
28,TIFFANY CRES,,Ward 4,786,182,CONTRACTOR UNKNOWN,Single,Kanata,Finish the basement in a 1 storey detached dwelling to create a secondary dwelling unit.,1,33444,900,1306457,Construction,2013-09-11
855,MOUNTAINVIEW AVE,K2B 5G1,Ward 7,4M-,,OTTAWA STRUCTURAL RESIDENTIAL SERVICES LIMITED,Single,Old Ottawa,Exterior alterations to a garage in a detached dwelling (partial foundation replacementl),0,9500,120,1306458,Construction,2013-09-11
1481,BLOHM DR,K1G 4P5,Ward 10,4M-554,156,OTTAWA STRUCTURAL RESIDENTIAL SERVICES LIMITED,Single,Old Ottawa,Exterior alterations to repair a garage foundation (replace front left & right corners of garage foundation),0,11950,30,1306459,Construction,2013-09-11
559,PINAWA CIR,,Ward 3,4M-1423,50226,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Aspen 2010 B,1,441163,2968,1306460,Construction,2013-09-11
512,PINAWA CIR,,Ward 3,4M-1423,50206,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Nantucket 2010 B,1,383193,2578,1306461,Construction,2013-09-11
557,PINAWA CIR,,Ward 3,4M-1423,50225,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Canterbury 2010 B,1,401328,2700,1306462,Construction,2013-09-11
218,PLYMOUTH ST,K1S 3E5,Ward 17,87004,26,"WENUK, JOHN",Single,Old Ottawa,Interior alterations to the 2nd floor of a 2 storey detached dwelling,0,59000,500,1306463,Construction,2013-09-11
12  -4,DEERFIELD DR,K2G 3R6,Ward 8,4R19558,35,CONTRACTOR UNKNOWN,Apartment,Nepean,Exterior alterations of existing balconies in a 3 storey building,0,13000,969,1306464,Construction,2013-09-11
12  -5,DEERFIELD DR,K2G 3R6,Ward 8,4R19558,35,CONTRACTOR UNKNOWN,Apartment,Nepean,Exterior alterations of existing balconies in a 3 storey building,0,13000,969,1306464,Construction,2013-09-11
6  -1,DEERFIELD DR,K2G 3R6,Ward 8,4R19558,35,CONTRACTOR UNKNOWN,Apartment,Nepean,Exterior renovations of existing balconies to a 3 storey apartment building,0,40000,2906,1306465,Construction,2013-09-11
6  -12,DEERFIELD DR,K2G 3R6,Ward 8,4R19558,35,CONTRACTOR UNKNOWN,Apartment,Nepean,Exterior renovations of existing balconies to a 3 storey apartment building,0,40000,2906,1306465,Construction,2013-09-11
6  -13,DEERFIELD DR,K2G 3R6,Ward 8,4R19558,35,CONTRACTOR UNKNOWN,Apartment,Nepean,Exterior renovations of existing balconies to a 3 storey apartment building,0,40000,2906,1306465,Construction,2013-09-11
6  -2,DEERFIELD DR,K2G 3R6,Ward 8,4R19558,35,CONTRACTOR UNKNOWN,Apartment,Nepean,Exterior renovations of existing balconies to a 3 storey apartment building,0,40000,2906,1306465,Construction,2013-09-11
6  -5,DEERFIELD DR,K2G 3R6,Ward 8,4R19558,35,CONTRACTOR UNKNOWN,Apartment,Nepean,Exterior renovations of existing balconies to a 3 storey apartment building,0,40000,2906,1306465,Construction,2013-09-11
6  -6,DEERFIELD DR,K2G 3R6,Ward 8,4R19558,35,CONTRACTOR UNKNOWN,Apartment,Nepean,Exterior renovations of existing balconies to a 3 storey apartment building,0,40000,2906,1306465,Construction,2013-09-11
14  -2,DEERFIELD DR,K2G 3R6,Ward 8,,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Exterior alterations to repair balconies on a 3 storey residential building,0,27000,1938,1306466,Construction,2013-09-11
14  -3,DEERFIELD DR,K2G 3R6,Ward 8,,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Exterior alterations to repair balconies on a 3 storey residential building,0,27000,1938,1306466,Construction,2013-09-11
14  -8,DEERFIELD DR,K2G 3R6,Ward 8,,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Exterior alterations to repair balconies on a 3 storey residential building,0,27000,1938,1306466,Construction,2013-09-11
14  -9,DEERFIELD DR,K2G 3R6,Ward 8,,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Exterior alterations to repair balconies on a 3 storey residential building,0,27000,1938,1306466,Construction,2013-09-11
1636,BANK ST,K1V 7Y6,Ward 17,31,16,CLARKWAY CONSTRUCTION CO. LTD.,Demolition,Old Ottawa,Demolish a 1 storey building and canopy (Canadian Tire Gas Bar),0,15000,-914,1306467,Demolition,2013-09-11
6915,STILL MEADOW WAY,K4P 0C9,Ward 20,4M-1436,15,BULAT HOMES LTD.,Single,Osgoode,Construct a 2 storey detached dwelling,1,469851,3161,1306468,Construction,2013-09-11
3972,LEITRIM RD,K1G 3N4,Ward 20,4M-,,THE FIREPLACE CENTER AND PATIO SHOP,Single,Gloucester,Install a freplace insert in a 1 storey detached dwelling,0,4000,350,1306469,Construction,2013-09-11
214,FAIRSIDE PRIV,K0A 1L0,Ward 5,4M-1333,,FENCES ETC.,Single,West Carleton,Construct a deck (rear yard) of a detached dwelling,0,2500,120,1306470,Construction,2013-09-11
135,ALICE ST,K1L 7X5,Ward 12,4M-36,81-88 & PT 89,CONTRACTOR UNKNOWN,Institutional,Vanier,Interior alterations on the 1st and 2nd floors of a 3 storey school (Cepeo Trillium),0,400000,27986,1306471,Construction,2013-09-11
44,ALON ST,K2S 1L2,Ward 6,4M-864,77,POOL BUILDERS OTTAWA,Single,Goulbourn,Install an enclosure for an ingrond pool  (rear yard),0,0,0,1306472,Pool Enclosure,2013-09-11
169,IVY CRES,K1M 1X7,Ward 13,98806,56,LAKE PARTNERSHIP,Detached Garage/Shed,Old Ottawa,"Construct a new detached garage at the rear of a 2 storey detached dwelling. Required parking to be relocated from front yard to garage with rear lane access. Landscaping to conform with approved site plan dated November 26, 2012",0,20000,262,1306473,Construction,2013-09-11
11,DORLAND CRES,K2H 6E6,Ward 8,406391,480,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations in a 2 storey detached dwelling,0,40000,1000,1306474,Construction,2013-09-11
1196,HOWIE RD,K0A 1L0,Ward 5,,PT LOT 11,***CONTRACTOR***,Detached Garage/Shed,West Carleton,Construct a detached garage (front yard),0,55000,1408,1306475,Construction,2013-09-11
148,MCCURDY DR,K2L 2Z6,Ward 23,4M-405,pt lot 23,LUKA PLUMBING & CONTRACTING INC.,Single,Kanata,PLUMBING ONLY - Install 2 new plumbing fixtures,0,0,0,1306478,Construction,2013-09-11
94,DE LA COTE-DES-NEIGES RD,K2G 2E1,Ward 8,4M-375,1021 to 1024,URBAN EDGE DEVELOPMENTS CORP.,Single,Nepean,Construct a 2 storey detached dwelling,1,374461,3108,1306479,Construction,2013-09-11
570,BYRON AVE,K2A 0E4,Ward 15,2004,15-16,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 1 storey addition and interior alterations to the garage of a 2 storey detached dwelling,0,71550,882,1306480,Construction,2013-09-11
92,DE LA COTE-DES-NEIGES RD,K2G 2E1,Ward 8,4M-375,1021 TO 1024,URBAN EDGE DEVELOPMENTS CORP.,Single,Nepean,Construct a 2 storey detached dwelling,1,374461,3108,1306481,Construction,2013-09-11
180,ARGYLE AVE,K2P 1B7,Ward 14,4M-,,CONTRACTOR UNKNOWN,Other,Old Ottawa,Interior alterations on the 11th floor of a 16 storey office building (YMCA-YWCA),0,24000,290,1306483,Construction,2013-09-11
37,BEDFORD CRES,K1K 0E6,Ward 13,4M-83,0,BROWNSTONE HOMES,Single,Old Ottawa,Remove an attached garage and construct a 2 storey addition (side yard) and interior alterations on all floors of a 2 storey detached dwelling,0,250313,1985,1306484,Construction,2013-09-11
238,DOVERCOURT AVE,K1Z 7H2,Ward 15,377,211,PRESTWICK BUILDING CORP,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,507883,3913,1306487,Construction,2013-09-11
