ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
41,ROCKCLIFFE WAY,K1M 1B4,Ward 13,M51,90,***CONTRACTOR***,Demolition,Old Ottawa,Demolish half of a 2 storey semi detached dwelling,-1,5000,-1000,1408441,Demolition,2014-11-17
501,SMYTH RD,K1H 8L6,Ward 18,405,1,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Construct an addition and interior alterations to the 1st floor of an 8 storey hospital (TOH - General Campus),0,1074980,6018,1408442,Construction,2014-11-18
917,BURWASH LANDING BAY,K2W 0C8,Ward 4,4M-1375,,KDL CONSTRUCTION,Rowhouse,Kanata,Construct a covered deck (rear yard),0,10500,360,1408443,Construction,2014-11-18
401,SMYTH RD,K1H 8L1,Ward 18,,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations to a  create three seclusion rooms (Level 2 - Mental Health rooms in Emergency Department - Cheo) in 7 storey hospital.,0,75000,0,1408444,Construction,2014-11-18
1173,SHILLINGTON AVE,K1Z 7Z5,Ward 16,314,71 72,BRIAN SHANE CONSTRUCTION LIMITED,Single,Old Ottawa,Construct a 2 storey detached dwelling,1,314857,2473,1408446,Construction,2014-11-18
6878,NOTRE DAME ST,K1C 1H7,Ward 2,5R3964,3,CONTRACTOR UNKNOWN,Single,Gloucester,Construct a secondary dwelling in the basement of a detached dwelling,1,27360,1244,1408447,Construction,2014-11-18
1780,VIGNEAULT ST,K1C 2H4,Ward 2,M-240,68,CONTRACTOR UNKNOWN,Single,Gloucester,Construct a secondary dwelling unit in the basement and an enclosed exterior stair in a 2 storey detached dwelling,1,36837,1045,1408450,Construction,2014-11-18
101,CHAMPAGNE AVE S,K1S 4P3,Ward 15,131037,7 & 26,ASHCROFT HOMES,Apartment,Old Ottawa,FOUNDATION ONLY (Without Mechanical and Electrical) - Construct a 29 storey residential building with one storey of underground mostly bicycle parking level.,156,0,11037,1408451,Construction,2014-11-18
134,FOURTH AVE,K1S 2L4,Ward 17,44183,49,OTTAWA GENERAL CONTRACTORS,Single,Old Ottawa,Interior alterations to a 2 storey single family dwelling,0,32727,310,1408455,Construction,2014-11-18
80,ELGIN ST,K1P 5K7,Ward 14,3922,28-29,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Interior alterations on the 1st & 2nd floor of an 8 storey office building (National Dental Examining Board of Canada, Suite 100 & Suite 200)",0,125000,3498,1408456,Construction,2014-11-18
1400,BLAIR PL,K1J 9B8,Ward 11,4M-,21,CONTRACTOR UNKNOWN,Office,Gloucester,Interior alterations on the 7th floor of a 7 storey office building (Frequentis Canada Limited),0,175000,6835,1408457,Construction,2014-11-18
2380,ST. LAURENT BLVD,K1G 6C4,Ward 10,4M-,1,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to a 1 storey office building (Public Health Ontario),0,416925,5650,1408458,Construction,2014-11-18
251,LAURIER AVE W,K1P 5J6,Ward 14,4M-3922,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 8th floor of a 12 storey office buildling,0,130000,4800,1408460,Construction,2014-11-18
251,LAURIER AVE W,K1P 5J6,Ward 14,3922,44-45,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 5th and 10th floors of a 12 storey office buildling (2 cross-over corridors),0,150000,109,1408461,Construction,2014-11-18
333,KING EDWARD AVE,K1N 7M5,Ward 12,43586,6,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Construct a new theatre with a cafe and office spaces,0,6685446,28784,1408462,Construction,2014-11-18
308 A,FAIRMONT AVE,K1Y 1Y8,Ward 15,114306,212,***CONTRACTOR***,Single,Old Ottawa,Finish the basement in a 2 storey single family dwelling,0,40876,1100,1408464,Construction,2014-11-18
1200,ST. LAURENT BLVD,K1K 3B8,Ward 13,747,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Interior alterations on the 2nd floor of a 2 storey retail building,0,30000,200,1408465,Construction,2014-11-18
2,ULLSWATER DR,K2H 5H2,Ward 7,420102,,ONEID INC,Retail,Nepean,Modifications to the existing kitchen exhaust. (Olive GreenTake Away),0,5000,691,1408466,Construction,2014-11-18
393,NELSON ST,K1N 7S6,Ward 12,37221,11,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,"Interior alterations on all floors within 10 units of an 18 unit, 3 storey apartment building",0,60000,0,1408467,Construction,2014-11-18
1333,FOXWELL ST,K1B 5J1,Ward 11,,,BELFOR PROPERTY RESTORATION,Rowhouse,Gloucester,Replace roof structure and Interior finish damaged by fire (CCC#380 - Unit 126 & 127),0,249000,3168,1408468,Construction,2014-11-18
1335,FOXWELL ST,K1B 5J1,Ward 11,,,BELFOR PROPERTY RESTORATION,Rowhouse,Gloucester,Replace roof structure and Interior finish damaged by fire (CCC#380 - Unit 126 & 127),0,249000,3168,1408468,Construction,2014-11-18
50,JACK AARON DR,K2G 6M4,Ward 9,4M-1004,101,PROTECTIVE PLUMBING CANADA,Single,Nepean,PLUMBING PERMIT ONLY: Install a mainline backwater valve on the sanitary sewer in a 2 storey detached dwelling,0,0,0,1408470,Construction,2014-11-18
497,FERNSIDE ST,K1T 0M2,Ward 20,4M1492,3,G. LEMAY CONSTRUCTION (2006) INC.,Single,Gloucester,Construct a 2 storey detached dwelling,1,327157,2201,1408471,Construction,2014-11-18
146,SALISBURY ST,K0A 1L0,Ward 5,148 A,58 & 59,SUMMIT HOMES,Semi - Detached,West Carleton,Construct a 2 storey semi-detached dwelling with attached garage,2,345000,3428,1408472,Construction,2014-11-18
148,SALISBURY ST,K0A 1L0,Ward 5,148 A,58 & 59,SUMMIT HOMES,Semi - Detached,West Carleton,Construct a 2 storey semi-detached dwelling with attached garage,2,345000,3428,1408472,Construction,2014-11-18
211,SOUTHBRIDGE ST,K4M 0C7,Ward 22,4M1480,50,URBANDALE CONSTRUCTION,Single,Gloucester,Construct a 2 storey detached dwelling,1,280186,1885,1408473,Construction,2014-11-18
75,GLENCAIRN AVE,K1S 1M5,Ward 17,277185,71,"SALVATI, GUISEPPE",Single,Old Ottawa,Finish the basement of a 2 storey detached dwelling,0,22296,600,1408474,Construction,2014-11-18
515,ADAMSON CRES,K2S 0S7,Ward 6,4M-1447,97,PATTEN HOMES 2000,Single,Goulbourn,Construct a 2 storey detached dwelling,1,364317,2451,1408475,Construction,2014-11-18
261,KING EDWARD AVE,K1N 7M2,Ward 12,,,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey semi detached dwelling (front yard) and a 2 storey detached dwelling (rear yard),-3,20000,-4500,1408476,Demolition,2014-11-18
263,KING EDWARD AVE,K1N 7M2,Ward 12,,,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey semi detached dwelling (front yard) and a 2 storey detached dwelling (rear yard),-3,20000,-4500,1408476,Demolition,2014-11-18
265,KING EDWARD AVE,K1N 7M2,Ward 12,,,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey semi detached dwelling (front yard) and a 2 storey detached dwelling (rear yard),-3,20000,-4500,1408476,Demolition,2014-11-18
407,LAURIER AVE W,K1R 7Y7,Ward 14,529,,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,Interior alterations on the 2nd floor of a 2 storey podium (multiple towers) (Minto offices and meeting area),0,610000,9451,1408477,Construction,2014-11-18
1907,WHITEMARSH CRES,K2W 1B5,Ward 5,4M-1381,19,DOYLE HOMES,Single,Kanata,Construct a 1 storey detached dwelling,1,320282,2655,1408478,Construction,2014-11-18
372,HUNTSVILLE DR,K2T 0H5,Ward 4,4M-1489,31,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: 2200D Nipissing 2013 A,1,275132,1851,1408479,Construction,2014-11-18
562,EGRET WAY,K2J 0E3,Ward 3,4M-1471,48,TAMARACK DEVELOPMENTS CORPORATION,Single,Nepean,Construct a 2 storey single family dwelling,1,472824,3181,1408480,Construction,2014-11-18
150,ELGIN ST,K2P 1L4,Ward 14,4556,53-57,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 19th floor of a 21 storey office building (CIBC),0,1100000,5974,1408489,Construction,2014-11-18
1125,COLONEL BY DR,K1S 5B6,Ward 17,4M-,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,"Interior alterations on the 1st and 3rd floor of a 5 storey university building (Steacie Building, Room 131 & 340)",0,199000,1302,1408490,Construction,2014-11-19
42,DUNVEGAN RD,K1K 3G3,Ward 13,M-85,277,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2 storey detached dwelling,1,594151,4961,1408491,Construction,2014-11-19
42,DUNVEGAN RD,K1K 3G3,Ward 13,M-85,277,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,5000,-1000,1408492,Demolition,2014-11-19
1010,BELFAST RD,K1G 4A2,Ward 18,725,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Tenant fit-up in a 1 storey retail building (Midbec, Unit #130 retail appliance parts sales)",0,22000,4000,1408493,Construction,2014-11-19
900,EXHIBITION WAY,K1S 5J3,Ward 17,26085,17-18,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Tenant fit-up in a 2 storey retail building (Lavazza Cafe, Unit J103 A)",0,150000,1919,1408494,Construction,2014-11-19
1305,AMESBROOKE DR,K2C 2E8,Ward 8,330972,40,WHITESTONE DESIGN/BUILD,Single,Old Ottawa,Construct a 1 storey addition to a 1 storey single dwelling (side yard),0,53510,360,1408495,Construction,2014-11-19
373,COVENTRY RD,K1K 2C5,Ward 13,747,,TOFCON CONSTRUCTION INC.,Office,Old Ottawa,"Office fit-up in a 1 storey single tenant building, formally F2 now D. (Lixar)",0,180000,18299,1408496,Construction,2014-11-19
5557,DICKINSON ST,,Ward 21,18,44,CONTRACTOR UNKNOWN,Single,Rideau,Construct an addition and attached garage to a 2 storey detached dwelling,0,90968,612,1408497,Construction,2014-11-19
80,ABERDEEN ST,K1S 5R5,Ward 14,49700,8-11,"CLARK, KEVIN",Office,Old Ottawa,"Interior alterations on the 3rd floor of a 4 storey office building (Suite 303, ISM)",0,6300,484,1408498,Construction,2014-11-19
21,HAMPTON AVE,K1Y 0N1,Ward 15,M-47,2789,HASLETT CONSTRUCTION INC.,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,5000,-1076,1408499,Demolition,2014-11-14
