ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
2052,WOODCREST RD,K1H 6H8,Ward 18,612,31,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a deck in the rear yard of a single family dwelling,0,4210,421,1201004,Construction,2012-03-06
1558,MIMOSA AVE,K1G 4C9,Ward 18,4M-353,15,***CONTRACTOR***,Single,Old Ottawa,Finish the basement in a 2 storey rowhouse dwelling,0,8057,537,1201005,Construction,2012-03-06
326,MOODIE DR,K2H 8G3,Ward 8,,PT LOT 10,CONTRACTOR UNKNOWN,Office,Nepean,Interior alterations on the 1st floor of a 3 storey office building,0,50000,6458,1201006,Construction,2012-03-06
50,O'CONNOR ST,K1P 6L2,Ward 14,3922,9,GIAMBERARDINO CONTRACTING INC.,Office,Old Ottawa,Interior alterations on the 10th floor of an 18 storey office building,0,12000,215,1201007,Construction,2012-03-06
440,LAURIER AVE W,K1R 7X6,Ward 14,,,MINTO COMMERCIAL PROPERTIES INC.,Mixed,Old Ottawa,Interior alterations on the 1st floor of a 29 storey office building (Minto),0,190000,4100,1201008,Construction,2012-03-06
3759,CONROY RD,K1T 3S6,Ward 10,,11 - 13,CONTRACTOR UNKNOWN,Demolition,Gloucester,Demolish a 2 storey detached dwelling,-1,5920000,-1250,1201009,Demolition,2012-03-06
4037,LARRY ROBINSON RD,,Ward 20,,38,***CONTRACTOR***,Single,Osgoode,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1201010,Pool Enclosure,2012-03-06
224,HUNT CLUB RD,K1V 1C1,Ward 10,4M-,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Interior alterations in a 1 storey retail building (Can-American Life Care) unit 6,0,35000,1000,1201011,Construction,2012-03-06
108,BRAMBLING WAY,K2J 5V2,Ward 3,4M-1445,61,TAMARACK DEVELOPMENTS CORPORATION,Single,Nepean,Construct a 2 storey detached dwelling with attached garage,1,259410,3563,1201012,Construction,2012-03-06
45,O'CONNOR ST,K1P 1A4,Ward 14,3922,14-21,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 6th floor of a 19 storey office building (Brewers Association of Ontario),0,200000,2422,1201013,Construction,2012-03-06
45,O'CONNOR ST,K1P 1A4,Ward 14,3922,,KERRY HILL MANAGEMENT AND DEVELOPMENT SERVICES,Office,Old Ottawa,Tenant fit up on the 6th floor of a 19 storey office building (APTN),0,193000,195,1201014,Construction,2012-03-06
969,CUMMINGS AVE,K1J 7R9,Ward 11,323,16 to 18,CONTRACTOR UNKNOWN,Mixed,Gloucester,Interior alterations/new restaurant on the 1st floor of a 2 storey mixed use building,0,16704,140,1201015,Construction,2012-03-06
48,ASHPARK CRES,K1T 3N8,Ward 10,4M- 686,,***CONTRACTOR***,Single,Old Ottawa,Construct a deck at the rear of a 2 storey detached dwelling,0,1500,120,1201016,Construction,2012-03-06
47,CLARENCE ST,K1N 9K1,Ward 12,42482,6-8,SOURCE FOUR CONSTRUCTION LTD.,Office,Old Ottawa,Interior altertaions on the 1st and 2nd floor of a 4 storey office building,0,111000,1076,1201017,Construction,2012-03-06
4456,LIMEBANK RD,,Ward 22,,,URBANDALE CORPORATION,Retail,Gloucester,Construct a 1 storey commercial shopping plaza (Base Building C-2),0,1357195,16361,1201018,Construction,2012-03-06
65,BRIGHTON AVE,K1S 0T1,Ward 17,96962,PT 53 & 54,ADCOR CONSTRUCTION,Single,Old Ottawa,Construct a 2 storey addition at the rear of a 2 storey detached dwelling,0,211000,943,1201019,Construction,2012-03-06
725,MORNINGSTAR WAY,,Ward 2,,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,815050,11215,1201020,Construction,2012-03-06
727,MORNINGSTAR WAY,,Ward 2,,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,815050,11215,1201020,Construction,2012-03-06
729,MORNINGSTAR WAY,,Ward 2,,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,815050,11215,1201020,Construction,2012-03-06
731,MORNINGSTAR WAY,,Ward 2,,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,815050,11215,1201020,Construction,2012-03-06
733,MORNINGSTAR WAY,,Ward 2,,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,815050,11215,1201020,Construction,2012-03-06
735,MORNINGSTAR WAY,,Ward 2,,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,815050,11215,1201020,Construction,2012-03-06
737,MORNINGSTAR WAY,,Ward 2,,pt Lot 5,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhouses with attached garages",6,851100,11730,1201021,Construction,2012-03-06
739,MORNINGSTAR WAY,,Ward 2,,pt Lot 5,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhouses with attached garages",6,851100,11730,1201021,Construction,2012-03-06
741,MORNINGSTAR WAY,,Ward 2,,pt Lot 5,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhouses with attached garages",6,851100,11730,1201021,Construction,2012-03-06
743,MORNINGSTAR WAY,,Ward 2,,pt Lot 5,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhouses with attached garages",6,851100,11730,1201021,Construction,2012-03-06
745,MORNINGSTAR WAY,,Ward 2,,pt Lot 5,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhouses with attached garages",6,851100,11730,1201021,Construction,2012-03-06
747,MORNINGSTAR WAY,,Ward 2,,pt Lot 5,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhouses with attached garages",6,851100,11730,1201021,Construction,2012-03-06
100,WALTER BAKER PL,K2V 1A2,Ward 6,,,CONTRACTOR UNKNOWN,Institutional,Kanata,Interior alterations on the 1st floor of a 2 storey institutional building ( KRC),0,15000,50,1201022,Construction,2012-03-06
1153,GREYROCK CRES,K2C 2A3,Ward 8,331850,491-pt lot 492,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct an addition at the side of a 2 storey detached dwelling,0,9800,340,1201023,Construction,2012-03-06
113,BRAMBLING WAY,K2J 5V2,Ward 3,,72,TAMARACK DEVELOPMENTS CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: 4308 C 2011,1,189340,2562,1201024,Construction,2012-03-06
14,THE MASTERS DR,K1V 9Y4,Ward 16,M-213,80,MERMAID POOLS,Single,Old Ottawa,Enclosure of an inground pool in the rear yard of a 2 storey detached dwelling,0,0,0,1201026,Pool Enclosure,2012-03-07
130,ROBERTSON RD,K2H 5Z1,Ward 8,,35,ROBERTSON MANAGEMENT,Retail,Nepean,Tenant-fit up in a 1 storey retail building (Unit 5),0,1000,269,1201027,Construction,2012-03-07
130,COLONNADE RD S,,Ward 9,,28 &29,MICHANIE CONSTRUCTION INC,Office,Nepean,Interior alterations to bathrooms on all floors of a 3 storey office building (Public Health Agency),0,47370,269,1201028,Construction,2012-03-07
100,COLONNADE RD N,,Ward 9,4M-,29,MICHANIE CONSTRUCTION INC,Office,Nepean,Construct a barrier-free washroom on the 1st floor of an office building (Public Health Agency),0,47370,86,1201029,Construction,2012-03-07
825,STANSTEAD RD,K1V 6Y6,Ward 16,M-108,39,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations in a 2 storey detached dwelling,0,15000,31,1201030,Construction,2012-03-07
240,ST. PATRICK ST,K1N 5K3,Ward 12,42482,16,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit up on the ground floor and basement level of a 4-storey commercial building.,0,25000,1281,1201031,Construction,2012-03-07
6,MOUNT PLEASANT AVE,K1S 0L8,Ward 17,224416,6 & 7,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2 storey detached dwelling with attached garage,1,300000,3000,1201032,Construction,2012-03-07
1756,WINDFLOWER WAY,K1C 5Y5,Ward 2,4M-497,362,***CONTRACTOR***,Single,Gloucester,Finish the basement in a detached dwelling,0,12804,699,1201033,Construction,2012-03-07
6,MOUNT PLEASANT AVE,K1S 0L8,Ward 17,224416,6 & 7,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish of a 2 storey detached dwelling,-1,10000,-130,1201034,Demolition,2012-03-07
1053,SOMERSET ST W,K1Y 3C4,Ward 15,73,1,CROSSFORD CONSTRUCTION,Office,Old Ottawa,Interior/exterior alterations to a 2 storey  building. Change of use from restaurant on ground floor and dwelling unit above to offices on all floors.,0,100000,1615,1201037,Construction,2012-03-07
8229,VICTORIA ST,K0A 2P0,Ward 20,100,30-31,***CONTRACTOR***,Mixed,Osgoode,Interior alterations to the main floor of a 2 storey mixed residential and commercial building,0,9000,900,1201038,Construction,2012-03-07
1958,RUTH ST,K1G 2M2,Ward 18,643,687,HIGH ENERGY GAS & WOOD,Single,Old Ottawa,Install a fireplace insert on the main floor of a 2 storey detached dwelling,0,4500,0,1201039,Construction,2012-03-07
915,BANK ST,K1S 3W5,Ward 17,,,SPACEWERX CONSTRUCTION,Retail,Old Ottawa,Tenant-fit up in a 1 storey retail building (ZAZAZA Gourmet Pizza),0,180000,1514,1201040,Construction,2012-03-07
399,NESTLETON ST,,Ward 19,,121,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 storey detached dwelling with attached 2 car garage  Model: Erickson C 2011,1,197110,2673,1201041,Construction,2012-03-07
